Departure_Tm_Mnts,O_MSP,O_ATL,O_LAX,D_Sunday,D_Tuesday,D_Wednesady,D_Thursday,D_Friday,D_Saturday,O_Visibility,D_Visibility,Schd_Blk_Tm_Mnt_Ct,Domestic,International,D_June,D_July
3,0,1,0,0,0,0,1,0,0,7,10,53,1,0,1,0
0,0,1,0,0,0,1,0,0,0,9,10,96,1,0,1,0
2,0,1,0,0,0,0,0,0,1,10,10,111,1,0,0,1
0,0,1,0,0,0,1,0,0,0,9,10,190,1,0,1,0
0,0,1,0,0,0,0,0,1,0,10,10,81,1,0,0,1
0,0,1,0,0,0,0,0,1,0,10,10,135,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,82,1,0,1,0
0,0,1,0,0,0,1,0,0,0,9,10,88,1,0,1,0
6,0,1,0,0,0,0,0,1,0,10,10,230,1,0,0,1
1,0,0,1,0,0,0,0,0,1,10,10,263,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,109,1,0,1,0
0,1,0,0,0,0,0,0,0,1,10,10,149,1,0,0,1
3,0,1,0,0,0,0,1,0,0,7,10,97,1,0,1,0
0,1,0,0,0,1,0,0,0,0,10,10,149,1,0,1,0
0,0,1,0,0,0,0,0,1,0,10,10,68,1,0,0,1
0,0,1,0,0,0,1,0,0,0,9,10,107,1,0,1,0
0,1,0,0,0,0,0,0,0,1,10,10,64,1,0,0,1
